ID,latitude,longitude,location
309,33.57132807,-111.8205264,843
310,-23.75963962,-46.52020484,209
311,-23.41023427,-46.54889613,209
312,33.45602472,-112.073518,843
313,45.451126,9.162245,93036
314,39.95511577,-75.16038895,13556
315,34.09757964,-118.3280969,2333
316,45.58904375,9.058579059,93036
317,-23.54695318,-46.64975166,209
318,41.82305785,-87.78495156,2501
319,48.8827985,2.3431841,74683
320,40.51313921,-73.87337698,861
321,40.031628,-75.051332,13556
322,40.599723,-73.912388,861
323,-23.520418,-46.628067,209
324,-23.47750954,-46.77798025,209
325,-23.528905,-46.72683,209
326,33.507183,-112.074913,843
327,40.82257458,-74.10422134,861
328,40.78192913,-73.78065066,861
329,39.942663,-75.158286,13556
330,45.32714841,9.334292012,93036
331,40.8524577,-73.89952999,46
332,40.82032492,-73.97670473,11543
333,39.87592274,-75.28891449,13556
334,-23.70568611,-46.54024852,209
335,49.00049468,2.451387937,74683
336,40.0583,-75.0871,13556
337,40.12851393,-75.10615816,13556
338,41.9527539,-87.7269612,2501
339,39.83152495,-75.24982297,13556
340,39.82954757,-75.03463134,13556
341,39.92497,-75.175772,13556
342,40.7187,-73.90620077,11543
343,39.82387315,-75.03251742,13556
344,33.57296756,-112.3091414,843
345,40.84889899,-74.05752157,11543
346,48.73025701,2.501557109,74683
347,40.62367875,-74.13224982,46
348,45.47556284,9.19421554,93036
349,-23.54258616,-46.65751934,209
350,33.50688822,-112.037276,843
351,41.97378534,-87.88976669,2501
352,41.76320532,12.64959653,2226
353,33.73120033,-111.8798363,843
354,33.3051122,-111.99506,843
355,33.25576119,-112.1653721,843
356,40.18964249,-75.11199719,13556
357,39.89487599,-75.06979141,13556
358,48.862319,2.342078,74683
359,33.4977808,-112.0697308,843
360,41.9206106,-87.6935363,2501
361,48.75629736,2.244414522,74683
362,39.96645185,-75.13931751,13556
363,41.9777734,-87.90611744,2501
364,49.00536063,2.500556062,74683
365,40.93964436,-73.98453817,861
366,41.885591,-87.640382,2501
367,40.09612807,-75.08571434,13556
368,-23.6674729,-46.52954843,209
369,33.38105772,-112.0501637,843
370,-23.6340943,-46.6908434,209
371,39.9664159,-75.1386657,13556
372,40.0392678,-75.1890204,13556
373,41.9777734,-87.90611744,2501
374,33.402786,-112.09473,843
375,41.9777734,-87.90611744,2501
